SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,WL_BIN,PTS_NORM
22024,1630217,22400676,2025-01-30,MEM vs. HOU,W,40.0,11.0,21.75,0.458,0.0,2.0,0.0,2.0,3.0,0.667,2.0,9.75,11.5,6.0,0.0,0.0,2.0,2.0,24.0,12.0,1,1,0.7477477477477478
22024,1630217,22400653,2025-01-27,MEM @ NYK,L,30.0,6.0,14.0,0.429,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,5.25,0.0,16.0,-32.0,1,0,0.4594594594594595
22024,1630217,22400643,2025-01-25,MEM vs. UTA,W,29.0,7.0,11.0,0.636,2.0,3.0,0.667,1.0,2.0,0.5,2.0,7.0,9.0,6.0,1.0,0.0,2.0,3.0,17.0,12.0,1,1,0.4954954954954955
22024,1630217,22400632,2025-01-24,MEM vs. NOP,W,34.0,9.0,18.0,0.5,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,2.0,1.0,20.0,23.0,1,1,0.6036036036036037
22024,1630217,22400616,2025-01-22,MEM vs. CHA,W,34.0,10.0,15.0,0.667,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,1.0,0.0,3.0,24.0,17.0,1,1,0.7477477477477478
22024,1630217,22400601,2025-01-20,MEM vs. MIN,W,37.0,7.0,14.0,0.5,4.0,6.0,0.667,4.0,4.0,1.0,2.0,4.0,6.0,5.0,2.0,0.0,1.0,0.0,22.0,16.0,1,1,0.6756756756756757
22024,1630217,22400582,2025-01-17,MEM @ SAS,W,33.0,10.0,17.0,0.588,2.0,6.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,11.5,3.0,0.0,3.0,3.0,22.0,23.0,1,1,0.6756756756756757
22024,1630217,22400567,2025-01-15,MEM @ SAS,W,33.0,8.0,13.0,0.615,2.0,4.0,0.5,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,21.0,9.0,1,1,0.6396396396396397
22024,1630217,22400551,2025-01-13,MEM @ HOU,L,34.0,9.0,13.0,0.692,4.0,5.0,0.8,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,25.0,-11.0,1,0,0.7837837837837838
22024,1630217,22400535,2025-01-11,MEM @ MIN,W,32.0,8.0,14.0,0.571,4.0,8.0,0.5,1.0,1.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,3.0,2.0,21.0,4.0,1,1,0.6396396396396397
22024,1630217,22400520,2025-01-09,MEM vs. HOU,L,27.0,6.0,10.0,0.6,2.0,5.0,0.4,2.0,3.0,0.667,0.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,16.0,-6.0,1,0,0.4594594594594595
22024,1630217,22400485,2025-01-04,MEM @ GSW,L,35.0,9.0,20.0,0.45,2.0,8.0,0.25,2.0,2.0,1.0,0.0,4.0,4.0,10.0,2.0,1.0,5.25,0.0,22.0,-10.0,1,0,0.6756756756756757
22024,1630217,22400476,2025-01-03,MEM @ SAC,L,35.0,7.0,14.0,0.5,0.0,4.0,0.0,6.75,8.0,1.0,1.0,6.0,7.0,8.0,2.0,1.0,5.0,2.0,22.0,-1.0,1,0,0.6756756756756757
22024,1630217,22400453,2024-12-31,MEM @ PHX,W,37.0,11.75,21.75,0.52,4.0,8.0,0.5,1.0,3.0,0.333,1.0,4.0,5.0,7.0,0.0,1.0,4.0,4.0,31.0,2.0,1,1,1.0
22024,1630217,22400440,2024-12-29,MEM @ OKC,L,29.0,7.0,15.0,0.467,3.0,8.0,0.375,5.0,6.0,0.833,1.0,8.0,9.0,4.0,0.0,0.0,2.0,2.0,22.0,-19.0,1,0,0.6756756756756757
22024,1630217,22400423,2024-12-27,MEM @ NOP,W,32.0,6.0,13.0,0.462,2.0,6.0,0.333,4.0,4.0,1.0,0.0,4.0,4.0,8.0,4.0,0.0,1.0,2.0,18.0,14.0,1,1,0.5315315315315315
22024,1630217,22400414,2024-12-26,MEM vs. TOR,W,23.0,8.0,13.0,0.615,3.0,6.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,2.0,3.0,19.0,22.0,1,1,0.5675675675675675
22024,1630217,22400399,2024-12-23,MEM vs. LAC,L,32.0,7.0,15.0,0.467,3.0,7.0,0.429,4.0,5.0,0.8,2.5,6.0,9.0,7.0,2.0,0.0,4.0,3.0,21.0,0.0,1,0,0.6396396396396397
22024,1630217,22400378,2024-12-21,MEM @ ATL,W,27.0,7.0,12.0,0.583,4.0,8.0,0.5,5.0,5.0,1.0,0.0,5.0,5.0,8.0,4.0,0.0,2.0,3.0,23.0,20.0,1,1,0.7117117117117117
22024,1630217,22400366,2024-12-19,MEM vs. GSW,W,24.0,6.0,9.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,3.0,1.0,15.0,36.0,1,1,0.42342342342342343
22024,1630217,22401220,2024-12-15,MEM @ LAL,L,28.0,3.0,8.0,0.375,0.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,7.0,0.0,0.0,1.0,4.0,7.0,-12.0,1,0,0.13513513513513514
22024,1630217,22401211,2024-12-13,MEM vs. BKN,W,28.0,8.0,14.0,0.571,2.0,6.0,0.333,3.0,3.0,1.0,1.0,3.0,4.0,8.0,1.0,2.0,0.0,1.0,21.0,20.0,1,1,0.6396396396396397
22024,1630217,22400345,2024-12-07,MEM @ BOS,W,33.0,5.0,12.0,0.417,2.0,5.0,0.4,2.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,0.0,4.0,2.0,14.0,17.0,1,1,0.38738738738738737
22024,1630217,22400329,2024-12-05,MEM vs. SAC,W,32.0,6.0,10.0,0.6,2.0,4.0,0.5,4.0,4.0,1.0,2.0,6.0,8.0,7.0,1.0,0.0,3.0,2.0,18.0,15.0,1,1,0.5315315315315315
22024,1630217,22400056,2024-12-03,MEM @ DAL,L,31.0,8.0,14.0,0.571,2.0,5.0,0.4,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,19.0,-1.0,1,0,0.5675675675675675
22024,1630217,22400306,2024-12-01,MEM vs. IND,W,30.0,7.0,15.0,0.467,2.0,8.0,0.25,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,0.0,1.0,4.0,16.0,18.0,1,1,0.4594594594594595
