SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,WL_BIN,PTS_NORM
22024,1629630,22400653,2025-01-27,MEM @ NYK,L,27.0,5.0,13.0,0.385,0.0,1.0,0.0,0.0,0.0,0.29562499999999986,1.0,4.0,5.0,2.0,0.0,0.0,4.0,0.0,10.0,-41.0,1,0,0.08333333333333333
22024,1629630,22400643,2025-01-25,MEM vs. UTA,W,26.0,4.0,9.0,0.444,2.0,6.0,0.333,1.0,2.0,0.5,1.0,0.0,1.0,7.0,1.0,0.0,4.0,4.0,11.0,24.0,1,1,0.125
22024,1629630,22400616,2025-01-22,MEM vs. CHA,W,32.0,5.0,9.0,0.556,2.0,5.0,0.4,4.0,4.0,1.0,0.0,4.0,4.0,13.0,3.0,1.0,5.0,2.0,16.0,4.0,1,1,0.3333333333333333
22024,1629630,22400601,2025-01-20,MEM vs. MIN,W,30.0,5.0,16.0,0.313,0.0,4.0,0.0,9.0,13.0,0.692,0.0,4.0,4.0,7.0,1.0,0.0,2.0,2.0,19.0,15.0,1,1,0.4583333333333333
22024,1629630,22400567,2025-01-15,MEM @ SAS,W,31.0,9.0,13.0,0.692,1.0,2.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,12.0,2.0,0.0,2.0,3.0,21.0,22.0,1,1,0.5416666666666666
22024,1629630,22400551,2025-01-13,MEM @ HOU,L,37.0,11.0,24.0,0.458,4.0,10.5,0.364,3.0,6.0,0.5,0.0,3.0,3.0,4.0,4.0,0.0,7.0,2.0,29.0,11.0,1,0,0.875
22024,1629630,22400535,2025-01-11,MEM @ MIN,W,30.0,5.0,19.0,0.263,0.0,4.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,4.0,1.0,0.0,5.0,4.0,12.0,1.0,1,1,0.16666666666666666
22024,1629630,22400520,2025-01-09,MEM vs. HOU,L,29.0,9.0,22.0,0.409,1.0,5.0,0.2,8.0,11.0,0.727,1.0,2.0,3.0,3.0,1.0,0.0,4.0,2.0,27.0,-7.0,1,0,0.7916666666666666
22024,1629630,22400423,2024-12-27,MEM @ NOP,W,25.0,8.0,11.0,0.727,3.0,4.0,0.75,6.0,7.0,0.857,0.0,2.0,2.0,7.0,1.0,0.0,3.0,2.0,25.0,21.0,1,1,0.7083333333333334
22024,1629630,22400414,2024-12-26,MEM vs. TOR,W,24.0,5.0,10.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,0.0,2.0,2.0,9.0,0.0,0.0,3.0,0.0,15.0,28.0,1,1,0.2916666666666667
22024,1629630,22400399,2024-12-23,MEM vs. LAC,L,29.0,7.0,20.0,0.35,2.0,8.0,0.25,7.0,8.0,0.875,0.0,6.0,6.0,4.0,1.0,1.0,7.0,0.0,23.0,-12.0,1,0,0.625
22024,1629630,22400366,2024-12-19,MEM vs. GSW,W,17.875,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,0.29562499999999986,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,9.0,24.0,1,1,0.041666666666666664
22024,1629630,22401220,2024-12-15,MEM @ LAL,L,31.0,6.0,21.0,0.286,2.0,7.0,0.286,6.0,8.0,0.75,2.0,5.0,7.0,6.0,3.0,0.0,7.0,3.0,20.0,-8.0,1,0,0.5
22024,1629630,22401211,2024-12-13,MEM vs. BKN,W,32.0,10.0,19.0,0.526,3.0,6.0,0.5,5.0,8.0,0.625,2.0,5.0,7.0,10.0,1.0,0.0,3.0,2.0,28.0,25.0,1,1,0.8333333333333334
22024,1629630,22400345,2024-12-07,MEM @ BOS,W,34.0,11.0,20.0,0.55,4.0,6.0,0.667,6.0,7.0,0.857,1.0,8.0,9.0,9.0,2.0,0.0,3.0,3.0,32.0,2.0,1,1,1.0
22024,1629630,22400329,2024-12-05,MEM vs. SAC,W,28.0,2.0,13.0,0.154,0.0,6.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,7.0,0.0,1.0,2.0,2.0,8.0,-32.0,1,1,0.0
22024,1629630,22400056,2024-12-03,MEM @ DAL,L,31.0,11.0,22.0,0.5,3.0,6.0,0.5,6.0,7.0,0.857,0.0,2.0,2.0,4.0,3.0,0.0,6.0,1.0,31.0,-8.0,1,0,0.9583333333333334
22024,1629630,22400306,2024-12-01,MEM vs. IND,W,27.0,6.0,13.0,0.462,2.0,7.0,0.286,5.0,6.0,0.833,0.0,2.0,2.0,8.0,1.0,1.0,0.0,2.0,19.0,13.0,1,1,0.4583333333333333
22024,1629630,22400042,2024-11-29,MEM vs. NOP,W,29.0,10.0,18.0,0.556,0.0,4.0,0.0,7.0,7.0,1.0,0.0,3.0,3.0,7.0,3.0,0.0,5.0,1.0,27.0,7.0,1,1,0.7916666666666666
22024,1629630,22400282,2024-11-25,MEM vs. POR,W,23.0,6.0,12.0,0.5,2.0,3.0,0.667,8.0,10.0,0.8,1.0,1.0,2.0,11.0,0.0,1.0,2.0,1.0,22.0,22.0,1,1,0.5833333333333334
22024,1629630,22400174,2024-11-06,MEM vs. LAL,W,24.0,7.0,17.0,0.412,2.0,3.0,0.667,4.0,5.0,0.8,0.0,4.0,4.0,5.0,1.0,1.0,5.0,2.0,20.0,8.0,1,1,0.5
22024,1629630,22400158,2024-11-04,MEM @ BKN,L,33.0,10.0,22.0,0.455,1.0,3.0,0.333,4.0,4.0,1.0,1.0,4.0,5.0,9.0,0.0,0.0,3.0,0.0,25.0,2.0,1,0,0.7083333333333334
22024,1629630,22400142,2024-11-02,MEM @ PHI,W,31.0,6.0,13.0,0.462,0.0,2.0,0.0,6.0,8.0,0.75,0.0,6.0,6.0,12.0,2.0,0.0,6.0,1.0,18.0,21.0,1,1,0.4166666666666667
22024,1629630,22400128,2024-10-31,MEM vs. MIL,W,29.0,9.0,16.0,0.563,2.0,5.0,0.4,6.0,7.0,0.857,1.0,9.0,10.0,14.0,1.0,0.0,3.0,0.0,26.0,29.0,1,1,0.75
22024,1629630,22400124,2024-10-30,MEM vs. BKN,L,29.0,5.0,16.0,0.313,1.0,6.0,0.167,3.0,4.0,0.75,2.0,6.0,8.0,11.0,0.0,0.0,5.0,3.0,14.0,4.0,1,0,0.25
22024,1629630,22400092,2024-10-26,MEM vs. ORL,W,25.0,4.0,12.0,0.333,0.0,6.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,10.0,0.0,1.0,3.0,3.0,16.0,18.0,1,1,0.3333333333333333
22024,1629630,22400082,2024-10-25,MEM @ HOU,L,24.0,8.0,17.0,0.471,2.0,4.0,0.5,6.0,9.0,0.667,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,24.0,-9.0,1,0,0.6666666666666666
22024,1629630,22400070,2024-10-23,MEM @ UTA,W,28.0,7.0,12.0,0.583,0.0,2.0,0.0,8.0,9.0,0.889,0.0,5.0,5.0,10.0,1.0,0.0,3.0,4.0,22.0,-3.0,1,1,0.5833333333333334
