GAME_DATE,Adversario,WL,Local,Placar
2024-04-14,DEN,L,Casa,111.0 - ?
2024-04-12,LAL,L,Casa,120.0 - ?
2024-04-10,CLE,L,Fora,98.0 - ?
2024-04-09,SAS,L,Casa,87.0 - ?
2024-04-06,PHI,L,Casa,96.0 - ?
2024-04-05,DET,W,Casa,108.0 - ?
2024-04-03,MIL,W,Fora,111.0 - ?
2024-04-01,DET,W,Fora,110.0 - ?
2024-03-30,ORL,L,Fora,88.0 - ?
2024-03-27,LAL,L,Casa,124.0 - ?
2024-03-25,DEN,L,Fora,103.0 - ?
2024-03-22,SAS,W,Fora,99.0 - ?
2024-03-20,GSW,L,Fora,116.0 - ?
2024-03-18,SAC,L,Fora,111.0 - ?
2024-03-16,OKC,L,Casa,112.0 - ?
2024-03-13,CHA,L,Casa,98.0 - ?
2024-03-12,WAS,W,Casa,109.0 - ?
2024-03-10,OKC,L,Fora,93.0 - ?
2024-03-08,ATL,L,Casa,92.0 - ?
2024-03-06,PHI,W,Fora,115.0 - ?
2024-03-04,BKN,W,Fora,106.0 - ?
2024-03-02,POR,L,Casa,100.0 - ?
2024-03-01,POR,L,Casa,92.0 - ?
2024-02-28,MIN,L,Fora,101.0 - ?
2024-02-26,BKN,L,Casa,86.0 - ?
2024-02-23,LAC,L,Casa,95.0 - ?
2024-02-15,MIL,W,Casa,113.0 - ?
2024-02-14,HOU,W,Casa,121.0 - ?
2024-02-12,NOP,L,Casa,87.0 - ?
2024-02-10,CHA,L,Fora,106.0 - ?
2024-02-08,CHI,L,Casa,110.0 - ?
2024-02-06,NYK,L,Fora,113.0 - ?
2024-02-04,BOS,L,Fora,91.0 - ?
2024-02-02,GSW,L,Casa,101.0 - ?
2024-02-01,CLE,L,Casa,101.0 - ?
2024-01-29,SAC,L,Casa,94.0 - ?
2024-01-28,IND,L,Fora,110.0 - ?
2024-01-26,ORL,W,Casa,107.0 - ?
2024-01-24,MIA,W,Fora,105.0 - ?
2024-01-22,TOR,W,Fora,108.0 - ?
2024-01-20,CHI,L,Fora,96.0 - ?
2024-01-18,MIN,L,Fora,103.0 - ?
2024-01-15,GSW,W,Casa,116.0 - ?
2024-01-13,NYK,L,Casa,94.0 - ?
2024-01-12,LAC,L,Casa,119.0 - ?
2024-01-09,DAL,W,Fora,120.0 - ?
2024-01-07,PHX,W,Fora,121.0 - ?
2024-01-05,LAL,W,Fora,127.0 - ?
2024-01-03,TOR,L,Casa,111.0 - ?
2024-01-02,SAS,W,Casa,106.0 - ?
2023-12-31,SAC,L,Casa,92.0 - ?
2023-12-29,LAC,L,Fora,106.0 - ?
2023-12-28,DEN,L,Fora,105.0 - ?
2023-12-26,NOP,W,Fora,116.0 - ?
2023-12-23,ATL,W,Fora,125.0 - ?
2023-12-21,IND,W,Casa,116.0 - ?
2023-12-19,NOP,W,Fora,115.0 - ?
2023-12-18,OKC,L,Fora,97.0 - ?
2023-12-15,HOU,L,Casa,96.0 - ?
2023-12-13,HOU,L,Fora,104.0 - ?
2023-12-11,DAL,L,Casa,113.0 - ?
2023-12-08,MIN,L,Casa,103.0 - ?
2023-12-06,DET,W,Fora,116.0 - ?
2023-12-02,PHX,L,Fora,109.0 - ?
2023-12-01,DAL,W,Fora,108.0 - ?
2023-11-29,UTA,W,Casa,105.0 - ?
2023-11-26,MIN,L,Casa,97.0 - ?
2023-11-24,PHX,L,Casa,89.0 - ?
2023-11-22,HOU,L,Fora,91.0 - ?
2023-11-19,BOS,L,Casa,100.0 - ?
2023-11-18,SAS,W,Fora,120.0 - ?
2023-11-14,LAL,L,Fora,107.0 - ?
2023-11-12,LAC,W,Fora,105.0 - ?
2023-11-10,UTA,L,Casa,121.0 - ?
2023-11-08,MIA,L,Casa,102.0 - ?
2023-11-05,POR,W,Fora,112.0 - ?
2023-11-03,POR,L,Fora,113.0 - ?
2023-11-01,UTA,L,Fora,109.0 - ?
2023-10-30,DAL,L,Casa,110.0 - ?
2023-10-28,WAS,L,Fora,106.0 - ?
2023-10-27,DEN,L,Casa,104.0 - ?
2023-10-25,NOP,L,Casa,104.0 - ?
2025-01-30,HOU,W,Casa,120.0 - ?
2025-01-27,NYK,L,Fora,106.0 - ?
2025-01-25,UTA,W,Casa,125.0 - ?
2025-01-24,NOP,W,Casa,139.0 - ?
2025-01-22,CHA,W,Casa,132.0 - ?
2025-01-20,MIN,W,Casa,108.0 - ?
2025-01-17,SAS,W,Fora,140.0 - ?
2025-01-15,SAS,W,Fora,129.0 - ?
2025-01-13,HOU,L,Fora,118.0 - ?
2025-01-11,MIN,W,Fora,127.0 - ?
2025-01-09,HOU,L,Casa,115.0 - ?
2025-01-06,DAL,W,Casa,119.0 - ?
2025-01-04,GSW,L,Fora,113.0 - ?
2025-01-03,SAC,L,Fora,133.0 - ?
2024-12-31,PHX,W,Fora,117.0 - ?
2024-12-29,OKC,L,Fora,106.0 - ?
2024-12-27,NOP,W,Fora,132.0 - ?
2024-12-26,TOR,W,Casa,155.0 - ?
2024-12-23,LAC,L,Casa,110.0 - ?
2024-12-21,ATL,W,Fora,128.0 - ?
2024-12-19,GSW,W,Casa,144.0 - ?
2024-12-15,LAL,L,Fora,110.0 - ?
2024-12-13,BKN,W,Casa,135.0 - ?
2024-12-08,WAS,W,Fora,140.0 - ?
2024-12-07,BOS,W,Fora,127.0 - ?
2024-12-05,SAC,W,Casa,115.0 - ?
2024-12-03,DAL,L,Fora,116.0 - ?
2024-12-01,IND,W,Casa,136.0 - ?
2024-11-29,NOP,W,Casa,120.0 - ?
2024-11-27,DET,W,Casa,131.0 - ?
2024-11-25,POR,W,Casa,123.0 - ?
2024-11-23,CHI,W,Fora,142.0 - ?
2024-11-20,PHI,W,Casa,117.0 - ?
2024-11-19,DEN,L,Casa,110.0 - ?
2024-11-17,DEN,W,Casa,105.0 - ?
2024-11-15,GSW,L,Fora,118.0 - ?
2024-11-13,LAL,L,Fora,123.0 - ?
2024-11-10,POR,W,Fora,134.0 - ?
2024-11-08,WAS,W,Casa,128.0 - ?
2024-11-06,LAL,W,Casa,131.0 - ?
2024-11-04,BKN,L,Fora,104.0 - ?
2024-11-02,PHI,W,Fora,124.0 - ?
2024-10-31,MIL,W,Casa,122.0 - ?
2024-10-30,BKN,L,Casa,106.0 - ?
2024-10-28,CHI,L,Casa,123.0 - ?
2024-10-26,ORL,W,Casa,124.0 - ?
2024-10-25,HOU,L,Fora,108.0 - ?
2024-10-23,UTA,W,Fora,126.0 - ?
