SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,WL_BIN,PTS_NORM
22023,1630217,22301055,2024-03-27,MEM vs. LAL,L,40.0,8.0,17.0,0.47,4.0,9.0,0.44,6.0,6.0,1.0,0.0,4.0,4.0,11.5,1.0,0.0,4.0,5.0,26.0,-7.0,1,0,0.47
22023,1630217,22301040,2024-03-25,MEM @ DEN,L,32.0,6.0,14.0,0.43,2.0,6.0,0.33,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,2.0,15.0,-23.0,1,0,0.21
22023,1630217,22301001,2024-03-20,MEM @ GSW,L,25.75,2.0,13.0,0.23,2.0,9.0,0.22,0.0,0.0,0.17,0.0,1.0,1.0,4.0,0.0,1.0,2.0,1.0,6.0,-18.0,1,0,0.0
22023,1630217,22300989,2024-03-18,MEM @ SAC,L,37.0,7.0,19.0,0.37,2.0,7.0,0.29,8.0,8.0,1.0,0.0,5.0,5.0,4.0,2.5,0.0,1.0,2.0,24.0,-17.0,1,0,0.43
22023,1630217,22300972,2024-03-16,MEM vs. OKC,L,32.0,7.0,17.0,0.41,4.0,9.0,0.44,4.0,6.0,0.67,1.0,2.0,3.0,7.0,0.0,1.0,3.0,4.0,22.0,11.0,1,0,0.38
22023,1630217,22300537,2024-01-12,MEM vs. LAC,L,25.75,3.0,11.0,0.27,3.0,6.0,0.5,6.0,7.0,0.86,0.0,1.0,1.0,3.0,1.0,0.0,0.5,3.0,15.0,-6.0,1,0,0.21
22023,1630217,22300515,2024-01-09,MEM @ DAL,W,39.0,11.0,27.0,0.41,2.0,9.0,0.22,8.0,9.0,0.89,2.0,7.0,9.0,4.0,0.0,0.0,2.0,3.0,32.0,17.0,1,1,0.62
22023,1630217,22300503,2024-01-07,MEM @ PHX,W,37.0,8.0,14.0,0.57,2.0,7.0,0.29,5.0,5.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,23.0,-13.0,1,1,0.4
22023,1630217,22300491,2024-01-05,MEM @ LAL,W,37.0,8.0,14.0,0.57,5.0,8.0,0.62,3.0,4.0,0.75,0.0,5.0,5.0,11.5,1.0,0.0,3.0,2.0,24.0,11.0,1,1,0.43
22023,1630217,22300470,2024-01-03,MEM vs. TOR,L,38.0,9.0,18.0,0.5,2.0,6.0,0.33,2.0,2.0,1.0,2.0,2.0,4.0,8.0,0.0,0.0,0.5,4.0,22.0,5.0,1,0,0.38
22023,1630217,22300460,2024-01-02,MEM vs. SAS,W,34.0,11.0,17.0,0.65,2.0,6.0,0.33,0.0,0.0,0.17,0.0,3.0,3.0,2.0,0.0,0.0,3.0,1.0,24.0,3.0,1,1,0.43
22023,1630217,22300449,2023-12-31,MEM vs. SAC,L,35.0,6.0,14.0,0.43,3.0,7.0,0.43,2.0,3.0,0.67,0.0,7.0,7.0,6.0,0.0,0.0,2.0,2.0,17.0,-18.0,1,0,0.26
