TeamName,Conference,WinPCT,Conferencia
Cavaliers,East,0.811,Leste
Celtics,East,0.704,Leste
Knicks,East,0.654,Leste
Pacers,East,0.569,Leste
Bucks,East,0.549,Leste
Pistons,East,0.509,Leste
Heat,East,0.49,Leste
Hawks,East,0.481,Leste
Magic,East,0.473,Leste
Bulls,East,0.415,Leste
76ers,East,0.385,Leste
Nets,East,0.358,Leste
Raptors,East,0.302,Leste
Hornets,East,0.255,Leste
Wizards,East,0.17,Leste
Thunder,West,0.827,Oeste
Grizzlies,West,0.673,Oeste
Nuggets,West,0.642,Oeste
Rockets,West,0.623,Oeste
Lakers,West,0.62,Oeste
Clippers,West,0.558,Oeste
Timberwolves,West,0.556,Oeste
Mavericks,West,0.528,Oeste
Kings,West,0.5,Oeste
Suns,West,0.5,Oeste
Warriors,West,0.5,Oeste
Spurs,West,0.451,Oeste
Trail Blazers,West,0.434,Oeste
Jazz,West,0.235,Oeste
Pelicans,West,0.226,Oeste
