SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1628991,0022400746,"FEB 08, 2025",MEM vs. OKC,L,35,7,14,0.5,2,3,0.667,3,6,0.5,0,3,3,2,3,3,4,4,19,5,1
22024,1628991,0022400722,"FEB 05, 2025",MEM @ TOR,W,28,10,16,0.625,4,5,0.8,8,9,0.889,3,2,5,4,0,1,1,1,32,29,1
22024,1628991,0022400703,"FEB 03, 2025",MEM vs. SAS,W,31,10,21,0.476,3,9,0.333,8,9,0.889,1,5,6,3,1,3,2,5,31,9,1
22024,1628991,0022400699,"FEB 02, 2025",MEM @ MIL,W,33,12,26,0.462,7,13,0.538,6,10,0.6,0,5,5,2,0,1,4,4,37,12,1
22024,1628991,0022400676,"JAN 30, 2025",MEM vs. HOU,W,31,7,15,0.467,1,4,0.25,6,7,0.857,0,4,4,4,1,0,1,5,21,8,1
22024,1628991,0022400653,"JAN 27, 2025",MEM @ NYK,L,33,8,14,0.571,3,4,0.75,2,2,1.0,1,3,4,0,0,2,4,4,21,-33,1
22024,1628991,0022400643,"JAN 25, 2025",MEM vs. UTA,W,30,10,14,0.714,2,4,0.5,6,9,0.667,2,1,3,2,1,2,1,2,28,26,1
22024,1628991,0022400632,"JAN 24, 2025",MEM vs. NOP,W,32,10,16,0.625,5,9,0.556,4,4,1.0,1,4,5,7,0,1,2,3,29,12,1
22024,1628991,0022400616,"JAN 22, 2025",MEM vs. CHA,W,30,9,18,0.5,1,5,0.2,3,3,1.0,2,4,6,1,0,1,0,4,22,8,1
22024,1628991,0022400601,"JAN 20, 2025",MEM vs. MIN,W,32,9,18,0.5,0,3,0.0,6,7,0.857,2,9,11,0,1,2,2,3,24,24,1
22024,1628991,0022400582,"JAN 17, 2025",MEM @ SAS,W,26,8,20,0.4,3,8,0.375,0,0,0.0,0,2,2,4,1,0,1,4,19,17,1
22024,1628991,0022400567,"JAN 15, 2025",MEM @ SAS,W,31,8,24,0.333,2,8,0.25,1,2,0.5,2,4,6,2,0,2,2,4,19,1,1
22024,1628991,0022400551,"JAN 13, 2025",MEM @ HOU,L,30,6,11,0.545,1,3,0.333,4,6,0.667,0,2,2,3,3,1,2,5,17,-3,1
22024,1628991,0022400535,"JAN 11, 2025",MEM @ MIN,W,34,13,24,0.542,2,5,0.4,5,7,0.714,4,4,8,1,1,0,2,3,33,6,1
22024,1628991,0022400520,"JAN 09, 2025",MEM vs. HOU,L,34,9,15,0.6,1,4,0.25,2,3,0.667,2,6,8,4,2,6,3,2,21,6,1
22024,1628991,0022400499,"JAN 06, 2025",MEM vs. DAL,W,34,13,23,0.565,1,2,0.5,8,12,0.667,5,8,13,5,3,1,2,2,35,9,1
22024,1628991,0022400485,"JAN 04, 2025",MEM @ GSW,L,36,11,21,0.524,0,3,0.0,1,1,1.0,1,8,9,2,2,1,4,4,23,-10,1
22024,1628991,0022400476,"JAN 03, 2025",MEM @ SAC,L,34,9,21,0.429,3,9,0.333,7,10,0.7,0,6,6,5,0,1,4,6,28,-5,1
22024,1628991,0022400453,"DEC 31, 2024",MEM @ PHX,W,38,12,24,0.5,4,9,0.444,10,17,0.588,2,10,12,4,2,1,5,3,38,8,1
22024,1628991,0022400440,"DEC 29, 2024",MEM @ OKC,L,25,3,17,0.176,0,6,0.0,7,8,0.875,2,3,5,4,1,1,3,4,13,-9,1
22024,1628991,0022400423,"DEC 27, 2024",MEM @ NOP,W,35,11,21,0.524,4,6,0.667,7,7,1.0,2,3,5,3,4,3,4,1,33,32,1
22024,1628991,0022400414,"DEC 26, 2024",MEM vs. TOR,W,32,9,17,0.529,1,3,0.333,2,2,1.0,4,7,11,6,0,3,3,2,21,28,1
22024,1628991,0022400399,"DEC 23, 2024",MEM vs. LAC,L,30,9,26,0.346,1,7,0.143,5,9,0.556,1,5,6,3,0,0,1,4,24,2,1
22024,1628991,0022400378,"DEC 21, 2024",MEM @ ATL,W,25,6,17,0.353,1,5,0.2,0,0,0.0,0,5,5,1,1,1,3,5,13,-1,1
22024,1628991,0022400366,"DEC 19, 2024",MEM vs. GSW,W,20,5,10,0.5,1,2,0.5,6,6,1.0,1,5,6,5,1,1,0,2,17,28,1
