Data do Jogo,Adversário,V/D,Casa/Fora,PTS,REB,AST,Placar do Jogo,Tentativas de Cestas de 3,Cestas de 3 PTS Marcados,Tempo em Quadra,Player_Name,Season
2024-03-27,LAL,L,Casa,26.0,4.0,11.5,26.0 - ?,9.0,4.0,40.0,Desmond Bane,2023-24
2024-03-25,DEN,L,Fora,15.0,3.0,3.0,15.0 - ?,6.0,2.0,32.0,Desmond Bane,2023-24
2024-03-20,GSW,L,Fora,6.0,1.0,4.0,6.0 - ?,9.0,2.0,25.75,Desmond Bane,2023-24
2024-03-18,SAC,L,Fora,24.0,5.0,4.0,24.0 - ?,7.0,2.0,37.0,Desmond Bane,2023-24
2024-03-16,OKC,L,Casa,22.0,3.0,7.0,22.0 - ?,9.0,4.0,32.0,Desmond Bane,2023-24
2024-01-12,LAC,L,Casa,15.0,1.0,3.0,15.0 - ?,6.0,3.0,25.75,Desmond Bane,2023-24
2024-01-09,DAL,W,Fora,32.0,9.0,4.0,32.0 - ?,9.0,2.0,39.0,Desmond Bane,2023-24
2024-01-07,PHX,W,Fora,23.0,5.0,5.0,23.0 - ?,7.0,2.0,37.0,Desmond Bane,2023-24
2024-01-05,LAL,W,Fora,24.0,5.0,11.5,24.0 - ?,8.0,5.0,37.0,Desmond Bane,2023-24
2024-01-03,TOR,L,Casa,22.0,4.0,8.0,22.0 - ?,6.0,2.0,38.0,Desmond Bane,2023-24
2024-01-02,SAS,W,Casa,24.0,3.0,2.0,24.0 - ?,6.0,2.0,34.0,Desmond Bane,2023-24
2023-12-31,SAC,L,Casa,17.0,7.0,6.0,17.0 - ?,7.0,3.0,35.0,Desmond Bane,2023-24
2023-12-29,LAC,L,Fora,18.0,7.0,5.0,18.0 - ?,5.0,2.0,37.0,Desmond Bane,2023-24
2023-12-28,DEN,L,Fora,23.0,1.0,2.0,23.0 - ?,5.0,3.0,25.75,Desmond Bane,2023-24
2023-12-26,NOP,W,Fora,27.0,5.0,7.0,27.0 - ?,14.0,5.0,40.0,Desmond Bane,2023-24
2023-12-23,ATL,W,Fora,37.0,6.0,6.0,37.0 - ?,14.0,5.0,36.0,Desmond Bane,2023-24
2023-12-21,IND,W,Casa,31.0,6.0,7.0,31.0 - ?,12.0,5.0,36.0,Desmond Bane,2023-24
2023-12-19,NOP,W,Fora,21.0,1.0,4.0,21.0 - ?,9.0,3.0,35.0,Desmond Bane,2023-24
2023-12-18,OKC,L,Fora,17.0,1.0,5.0,17.0 - ?,9.0,4.0,28.0,Desmond Bane,2023-24
2023-12-15,HOU,L,Casa,28.0,10.5,3.0,28.0 - ?,12.0,4.0,40.0,Desmond Bane,2023-24
2023-12-11,DAL,L,Casa,28.0,3.0,8.0,28.0 - ?,9.0,3.0,39.0,Desmond Bane,2023-24
2023-12-08,MIN,L,Casa,16.0,2.0,1.0,16.0 - ?,6.0,4.0,37.0,Desmond Bane,2023-24
2023-12-06,DET,W,Fora,48.25,6.0,8.0,48.25 - ?,8.0,4.0,36.0,Desmond Bane,2023-24
2023-12-02,PHX,L,Fora,27.0,3.0,5.0,27.0 - ?,6.0,3.0,30.0,Desmond Bane,2023-24
2023-12-01,DAL,W,Fora,30.0,4.0,5.0,30.0 - ?,6.0,4.0,34.0,Desmond Bane,2023-24
2023-11-29,UTA,W,Casa,17.0,7.0,9.0,17.0 - ?,11.0,3.0,36.0,Desmond Bane,2023-24
2023-11-26,MIN,L,Casa,13.0,2.0,4.0,13.0 - ?,9.0,3.0,34.0,Desmond Bane,2023-24
2023-11-24,PHX,L,Casa,6.0,5.0,10.0,6.0 - ?,5.0,0.0,34.0,Desmond Bane,2023-24
2023-11-22,HOU,L,Fora,23.0,7.0,4.0,23.0 - ?,6.0,2.0,26.0,Desmond Bane,2023-24
2023-11-19,BOS,L,Casa,30.0,2.0,8.0,30.0 - ?,14.0,7.0,37.0,Desmond Bane,2023-24
2023-11-18,SAS,W,Fora,26.0,5.0,4.0,26.0 - ?,6.0,3.0,34.0,Desmond Bane,2023-24
2023-11-14,LAL,L,Fora,15.0,1.0,5.0,15.0 - ?,6.0,2.0,27.0,Desmond Bane,2023-24
2023-11-12,LAC,W,Fora,27.0,4.0,6.0,27.0 - ?,11.0,3.0,35.0,Desmond Bane,2023-24
2023-11-10,UTA,L,Casa,37.0,4.0,8.0,37.0 - ?,13.0,7.0,38.0,Desmond Bane,2023-24
2023-11-08,MIA,L,Casa,15.0,5.0,3.0,15.0 - ?,8.0,2.0,36.0,Desmond Bane,2023-24
2023-11-05,POR,W,Fora,30.0,8.0,5.0,30.0 - ?,9.0,3.0,34.0,Desmond Bane,2023-24
2023-11-03,POR,L,Fora,33.0,8.0,7.0,33.0 - ?,9.0,3.0,43.75,Desmond Bane,2023-24
2023-11-01,UTA,L,Fora,21.0,3.0,0.0,21.0 - ?,12.0,4.0,27.0,Desmond Bane,2023-24
2023-10-30,DAL,L,Casa,30.0,6.0,3.0,30.0 - ?,7.0,3.0,37.0,Desmond Bane,2023-24
2023-10-28,WAS,L,Fora,26.0,2.0,5.0,26.0 - ?,10.0,4.0,34.0,Desmond Bane,2023-24
2023-10-27,DEN,L,Casa,15.0,3.0,3.0,15.0 - ?,10.0,1.0,32.0,Desmond Bane,2023-24
2023-10-25,NOP,L,Casa,31.0,5.0,5.0,31.0 - ?,10.0,5.0,36.0,Desmond Bane,2023-24
2024-04-03,MIL,W,Fora,35.0,3.0,4.0,35.0 - ?,7.0,2.0,37.0,Jaren Jackson Jr.,2023-24
2024-04-01,DET,W,Fora,40.0,7.0,3.0,40.0 - ?,3.0,2.0,34.0,Jaren Jackson Jr.,2023-24
2024-03-30,ORL,L,Fora,4.0,4.0,1.0,4.0 - ?,3.0,0.0,26.0,Jaren Jackson Jr.,2023-24
2024-03-27,LAL,L,Casa,17.0,9.0,3.0,17.0 - ?,4.0,0.0,35.0,Jaren Jackson Jr.,2023-24
2024-03-25,DEN,L,Fora,11.0,4.0,5.0,11.0 - ?,7.0,1.0,26.0,Jaren Jackson Jr.,2023-24
2024-03-22,SAS,W,Fora,28.0,7.0,2.0,28.0 - ?,6.0,2.0,36.0,Jaren Jackson Jr.,2023-24
