TeamName,Conference,WinPCT,Conferencia
Celtics,East,0.78,Leste
Knicks,East,0.61,Leste
Bucks,East,0.598,Leste
Cavaliers,East,0.585,Leste
Magic,East,0.573,Leste
Pacers,East,0.573,Leste
76ers,East,0.573,Leste
Heat,East,0.561,Leste
Bulls,East,0.476,Leste
Hawks,East,0.439,Leste
Nets,East,0.39,Leste
Raptors,East,0.305,Leste
Hornets,East,0.256,Leste
Wizards,East,0.183,Leste
Pistons,East,0.171,Leste
Thunder,West,0.695,Oeste
Nuggets,West,0.695,Oeste
Timberwolves,West,0.683,Oeste
Clippers,West,0.622,Oeste
Mavericks,West,0.61,Oeste
Suns,West,0.598,Oeste
Pelicans,West,0.598,Oeste
Lakers,West,0.573,Oeste
Kings,West,0.561,Oeste
Warriors,West,0.561,Oeste
Rockets,West,0.5,Oeste
Jazz,West,0.378,Oeste
Grizzlies,West,0.329,Oeste
Spurs,West,0.268,Oeste
Trail Blazers,West,0.256,Oeste
